DateCollected,Site,ReproShootID,RhipidiumNumber,RhipidiumHt,SpatheStage,Seeds
2024-05-13,FSB,1,1,,PS,
2024-05-13,FSB,1,2,,0,
2024-05-13,FSB,1,3,,PS,
2024-05-13,FSB,2,1,,PS,
2024-05-13,FSB,2,2,,PS,
2024-05-13,FSB,2,3,,PS,
2024-05-13,FSB,2,4,,PS,
2024-05-13,NCB,1,1,,PS,
2024-05-13,NCB,1,2,,PS,
2024-05-30,FSB,1,1,,0,
2024-05-30,FSB,1,2,,0,
2024-05-30,FSB,1,3,,0,
2024-05-30,FSB,1,4,,0,
2024-05-30,FSB,1,5,,0,
2024-05-30,FSB,2,1,,0,
2024-05-30,FSB,2,2,,PS,
2024-05-30,FSB,2,2,,0,
2024-05-30,FSB,2,2,,0,
2024-05-30,FSB,2,3,,0,
2024-05-30,FSB,2,3,,1,
2024-05-30,FSB,2,4,,unk,
2024-05-30,FSB,2,4,,0,
2024-05-30,FSB,2,5,,0,
2024-05-30,FSB,2,5,,1,
2024-05-30,FSB,3,1,,0,
2024-05-30,FSB,3,2,,PS,
2024-05-30,FSB,3,3,,0,
2024-05-30,FSB,3,4,,PS,
2024-05-30,FSB,4,1,,0,
2024-05-30,FSB,4,2,,0,
2024-05-30,FSB,4,3,,0,
2024-05-30,FSB,4,4,,PS,
2024-05-30,FSB,4,5,,PS,
2024-05-30,FSB,5,1,,PS,
2024-05-30,FSB,5,2,,PS,
2024-05-30,FSB,5,2,,0,
2024-05-30,FSB,5,3,,0,
2024-05-30,FSB,5,4,,0,
2024-05-30,FSB,5,5,,PS,
2024-05-30,FSB,5,6,,0,
2024-05-30,NCB,1,1,,PS,
2024-05-30,NCB,1,1,,0,
2024-05-30,NCB,1,2,,PS,
2024-05-30,NCB,1,2,,0,
2024-05-30,NCB,1,3,,PS,
2024-05-30,NCB,1,4,,PS,
2024-05-30,NCB,1,5,,0,
2024-05-30,NCB,2,1,,PS,
2024-05-30,NCB,2,1,,0,
2024-05-30,NCB,2,2,,PS,
2024-05-30,NCB,2,2,,0,
2024-05-30,NCB,2,3,,0,
2024-05-30,NCB,2,4,,PS,
2024-05-30,NCB,2,5,,0,
2024-05-30,NCB,3,1,,PS,
2024-05-30,NCB,3,1,,0,
2024-05-30,NCB,3,2,,PS,
2024-05-30,NCB,3,2,,0,
2024-05-30,NCB,3,3,,0,
2024-05-30,NCB,3,4,,0,
2024-05-30,NCB,3,5,,PS,
